external_gene_name;transcript_id;Isoform_id;gene_id;uniprotswissprot
TMA7B;ENST00000424496;;ENSG00000225528;A0A024R1R8
NUDT4B;ENST00000322209;;ENSG00000177144;A0A024RBG1
PPIAL4E;ENST00000581164;;ENSG00000271567;A0A075B759
PPIAL4H;ENST00000584068;;ENSG00000270339;A0A075B767
TMEM265;ENST00000615541;;ENSG00000281991;A0A087WTH1
NBPF19;ENST00000651566;;ENSG00000271383;A0A087WUL8
ZNF892;ENST00000425953;;ENSG00000233757;A0A087WUV0
SPEGNB;ENST00000651166;;ENSG00000286095;A0A087WV53
TBC1D3D;ENST00000616101;;ENSG00000274419;A0A087WVF3
P3R3URF;ENST00000506599;;ENSG00000250719;A0A087WWA1
MEIKIN;ENST00000442687;;ENSG00000239642;A0A087WXM9
TBC1D3I;ENST00000619234;;ENSG00000275861;A0A087WXS9
TBC1D3I;ENST00000618421;;ENSG00000282144;A0A087WXS9
TBC1D3I;ENST00000621034;;ENSG00000274933;A0A087WXS9
TBC1D3E;ENST00000621587;;ENSG00000278599;A0A087X179
TBC1D3K;ENST00000620247;;ENSG00000273513;A0A087X1G2
DEFB131B;ENST00000530210;;ENSG00000225805;A0A096LNP1
NOTCH2NLR;ENST00000624419;;ENSG00000286106;A0A096LNW5
SMIM26;ENST00000411646;;ENSG00000232388;A0A096LP01
CCDC187;ENST00000624277;A0A096LP49-1;ENSG00000260220;A0A096LP49
CCDC187;ENST00000569961;A0A096LP49-2;ENSG00000260220;A0A096LP49
UQCRHL;ENST00000483273;;ENSG00000233954;A0A096LP55
UQCRHL;ENST00000696689;;ENSG00000233954;A0A096LP55
OR4N4C;ENST00000623441;;ENSG00000279408;A0A096LPK9
POTEB;ENST00000439682;;ENSG00000233917;A0A0A6YYL3
NPIPA9;ENST00000427999;;ENSG00000233024;A0A0B4J1W7
PPIAL4C;ENST00000585245;;ENSG00000288867;A0A0B4J2A2
PIGBOS1;ENST00000436697;;ENSG00000225973;A0A0B4J2F0
PIGBOS1;ENST00000567948;;ENSG00000225973;A0A0B4J2F0
CCDC163;ENST00000629482;;ENSG00000280670;A0A0D9SF12
PRAMEF33;ENST00000621403;;ENSG00000276370;A0A0G2JMD5
PRAMEF33;ENST00000632108;;ENSG00000282125;A0A0G2JMD5
PRAMEF33;ENST00000636272;;ENSG00000283488;A0A0G2JMD5
PRAMEF33;ENST00000437300;;ENSG00000237700;A0A0G2JMD5
TEX13C;ENST00000632600;;ENSG00000282815;A0A0J9YWL9
TEX13C;ENST00000695840;;ENSG00000282815;A0A0J9YWL9
TEX13C;ENST00000695841;;ENSG00000282815;A0A0J9YWL9
MAGEB6B;ENST00000416929;;ENSG00000232030;A0A0J9YX57
PNMA6F;ENST00000436629;;ENSG00000225110;A0A0J9YX94
PNMA6E;ENST00000445091;;ENSG00000214897;A0A0J9YXQ4
TEX13D;ENST00000632372;;ENSG00000282419;A0A0J9YY54
GLYATL1B;ENST00000527482;;ENSG00000255151;A0A0U1RQE8
DPEP2NB;ENST00000574912;;ENSG00000263201;A0A0U1RQF7
CT47C1;ENST00000620151;;ENSG00000277535;A0A0U1RQG5
KLF18;ENST00000634670;;ENSG00000283039;A0A0U1RQI7
TMEM275;ENST00000697682;;ENSG00000282881;A0A0U1RQS6
TMEM275;ENST00000634804;;ENSG00000282881;A0A0U1RQS6
CENPVL1;ENST00000602548;;ENSG00000223591;A0A0U1RR11
C1orf232;ENST00000634842;;ENSG00000282872;A0A0U1RR37
ZNF593OS;ENST00000448923;;ENSG00000236782;A0A0U1RRA0
ZNF593OS;ENST00000433939;;ENSG00000236782;A0A0U1RRA0
ZNF593OS;ENST00000648649;;ENSG00000236782;A0A0U1RRA0
NBDY;ENST00000637096;;ENSG00000204272;A0A0U1RRE5
NBDY;ENST00000374922;;ENSG00000204272;A0A0U1RRE5
NBDY;ENST00000423617;;ENSG00000204272;A0A0U1RRE5
CENPVL3;ENST00000417339;;ENSG00000224109;A0A0U1RRI6
LBHD2;ENST00000634353;;ENSG00000283071;A0A0U1RRK4
MMP24OS;ENST00000456790;;ENSG00000126005;A0A0U1RRL7
MMP24OS;ENST00000424358;;ENSG00000126005;A0A0U1RRL7
MISFA;ENST00000635674;A0A0U1RRN3-1;ENSG00000247595;A0A0U1RRN3
MISFA;ENST00000636011;A0A0U1RRN3-2;ENSG00000247595;A0A0U1RRN3
MISFA;ENST00000542172;A0A0U1RRN3-2;ENSG00000247595;A0A0U1RRN3
OR4M2B;ENST00000671884;;ENSG00000288469;A0A0X1KG70
OR4M2B;ENST00000332663;;ENSG00000182974;A0A0X1KG70
LCE6A;ENST00000431011;;ENSG00000235942;A0A183
TUNAR;ENST00000687554;;ENSG00000250366;A0A1B0GTB2
TUNAR;ENST00000504119;;ENSG00000250366;A0A1B0GTB2
TUNAR;ENST00000554321;;ENSG00000250366;A0A1B0GTB2
TUNAR;ENST00000503525;;ENSG00000250366;A0A1B0GTB2
C3orf85;ENST00000622536;;ENSG00000241224;A0A1B0GTC6
SPMIP11;ENST00000548380;;ENSG00000257987;A0A1B0GTD5
CSNKA2IP;ENST00000637986;;ENSG00000283434;A0A1B0GTH6
CCDC201;ENST00000636578;;ENSG00000283247;A0A1B0GTI1
TMEM272;ENST00000629372;A0A1B0GTI8-1;ENSG00000281106;A0A1B0GTI8
FAM237A;ENST00000441223;;ENSG00000235118;A0A1B0GTK4
FAM236D;ENST00000419795;;ENSG00000225396;A0A1B0GTK5
C20orf204;ENST00000636176;;ENSG00000196421;A0A1B0GTL2
MYMX;ENST00000573382;;ENSG00000262179;A0A1B0GTQ4
MYMX;ENST00000576476;;ENSG00000262179;A0A1B0GTQ4
EDDM13;ENST00000649256;;ENSG00000267710;A0A1B0GTR0
CXorf51A;ENST00000458472;;ENSG00000224440;A0A1B0GTR3
SPRR5;ENST00000636302;;ENSG00000283227;A0A1B0GTR4
HSFX4;ENST00000457775;;ENSG00000283463;A0A1B0GTS1
ZC3H11B;ENST00000651890;;ENSG00000215817;A0A1B0GTU1
CTXND1;ENST00000560778;;ENSG00000259417;A0A1B0GTU2
